refereeAccountId,totalSize,,Previous Change Date,,Current Date,,Activity
6751147,10155.15174377, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10327777,4181.91353523, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
2503442,1507.38621327, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10631159,990.83963596, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12770966,702.41036847, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10652630,561.72168655, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
5738219,542.49687505, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
3670917,458.40788854, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12729622,370.5309427, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9947079,327.48997166, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9491343,299.46032841, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9135635,289.25519109, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12703561,284.89535246, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9130314,281.33625985, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9099102,244.52628927, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12267885,237.34954006, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
14758759,221.61351779, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27778413,218.05676641, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9128886,199.00011073, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
16317302,195.77543048, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12844593,194.30725124, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
6415363,186.21074905, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9188046,136.7759197, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
18252769,126.08050555, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9288533,116.8822919, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
45088374,115.9392005, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
23450366,94.62275048, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
2954707,93.95101489, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9327888,86.7458508, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12857207,74.68152929, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9131929,70.63110961, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
20513191,69.36066017, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
7403675,57.83002505, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
25625074,57.12906307, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9097028,53.72011212, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10652137,50.99251356, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9131113,45.4252175, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11047030,44.91184602, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10931328,38.93531824, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27919972,29.9775629, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10873188,29.46254362, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10947903,28.78537572, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13499926,20.70809111, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9326579,19.87720137, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12374662,17.09705291, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10930597,13.18479002, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
20405003,10.19594564, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
24237908,9.82640613, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
20418229,9.3908648, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9329962,9.04373008, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10157352,8.21638152, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9164535,5.79979274, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13616529,4.66866658, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
